Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-10-15,1770.3819580078125,1775.8761346122644,1743.5923874711464,1761.7548081739708,2638151
2018-10-16,1782.005859375,1790.723798690251,1757.214112056849,1778.1008947841397,2815425
2018-10-17,1752.1287841796875,1806.252776840173,1743.5924240991112,1788.9984768100257,2779207
2018-10-19,1737.417236328125,1751.7655939851466,1698.2318997238738,1751.7655939851466,3428776
2018-10-22,1728.1546630859375,1739.9602388190522,1713.579273319736,1738.1439963985729,1778496
2018-10-23,1677.783935546875,1727.244253247048,1671.732188205915,1718.1439147157146,2752811
2018-10-24,1682.19775390625,1705.4036195944348,1648.1624620126202,1685.428418858876,2735913
2018-10-25,1686.2930908203125,1708.0429267835455,1660.8576836158345,1678.1027843889133,2507233
2018-10-26,1637.2418212890625,1687.1117189977033,1629.9615507382018,1687.1117189977033,2285970
2018-10-29,1702.6732177734375,1708.9979081663744,1623.8187678059128,1645.9780683316278,2609483
2018-10-30,1724.3323974609375,1737.6188711025973,1679.0126616700388,1699.0334088552643,2404883
2018-10-31,1763.7823486328125,1769.0150439231086,1706.723152466619,1729.0645307065265,2769190
2018-11-01,1761.5980224609375,1769.424291341423,1730.2474008113181,1768.7873120826375,2769759
2018-11-02,1741.304443359375,1778.7523631822423,1733.6147008015703,1760.1876481056388,1818635
2018-11-05,1720.7373046875,1753.9535367693875,1715.1861209955453,1738.1644733261662,1713366
2018-11-06,1758.8223876953125,1763.19059463598,1720.8740203647164,1723.6041219306044,1398710
2018-11-07,1767.422607421875,1773.65631828802,1762.7359099660825,1765.466012046567,144530
2018-11-09,1737.4366455078125,1785.4409328504148,1733.614547633318,1784.5764450965546,2570479
2018-11-12,1742.5782470703125,1771.0168040931853,1736.7995545008876,1736.7995545008876,2552008
2018-11-13,1760.8699951171875,1764.5556767317873,1731.7944573597686,1742.7148638171082,1418432
2018-11-14,1711.4554443359375,1756.274618312662,1701.7635601314657,1751.815429547097,2422318
2018-11-15,1704.35693359375,1728.154341824385,1690.478916894002,1696.3031559561105,1829123
2018-11-16,1716.8701171875,1728.882632605433,1701.9910835484143,1719.0542209987727,1829729
2018-11-19,1731.2939453125,1735.7531336316063,1696.5762409643185,1728.1543727987464,1740628
2018-11-20,1709.271240234375,1730.8845462136462,1705.5855583584485,1730.8845462136462,1190182
2018-11-21,1648.9813232421875,1702.7188660976606,1636.741412491116,1702.673319970272,3840461
2018-11-22,1649.4820556640625,1681.378678478274,1647.1158785591977,1656.2617640541985,3194219
2018-11-26,1680.013427734375,1692.662920161809,1623.9553661444884,1655.3515332120057,4333177
2018-11-27,1720.191650390625,1727.1534322302518,1670.230765003342,1687.2029201556506,3344839
2018-11-28,1805.416259765625,1810.0574103951678,1713.1388009396196,1719.0540212350288,5313249
2018-11-29,1784.1666259765625,1817.3373101109496,1767.7860192755124,1817.3373101109496,4035441
2018-11-30,1791.1739501953125,1811.8772182593,1783.5296443848345,1789.1263742329402,5268901
2018-12-03,1804.051025390625,1810.9672600455388,1791.2195710420951,1805.5070572514314,1610576
2018-12-04,1829.94189453125,1837.7227298699554,1793.677060900633,1804.597469186177,3270615
2018-12-05,1826.21044921875,1836.448330147471,1806.4172127565562,1825.527923823502,2501539
2018-12-06,1813.42431640625,1835.5381822739469,1801.5028957940315,1818.2475400016588,2321216
2018-12-07,1815.6993408203125,1823.616701304233,1795.4966354797568,1806.4625868878993,1680420
2018-12-10,1798.0450439453125,1830.0781931444158,1783.666463731007,1797.3169723820097,2010786
2018-12-11,1820.06787109375,1829.1682104492186,1784.5765476074218,1792.7668530273436,2942014
2018-12-12,1835.3564453125,1840.0885772380998,1806.3717762317958,1821.0688461855214,2219993
2018-12-13,1804.2332763671875,1847.0958529407171,1796.8620236334677,1841.9087038916884,3748429
2018-12-14,1810.7398681640625,1819.1121352187563,1797.54437722883,1804.5971396252473,2473761
2018-12-17,1814.8807373046875,1824.527074884693,1806.4173771979297,1819.1578524023482,1227921
2018-12-18,1809.0107421875,1821.887743209526,1798.590899180314,1812.6964236657022,1768742
